Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0004913,"zmieniona wielkość czcionki w warstwie ""kłady"" nie jest uwzględniana na podstronach z kładami",przypisany,dokumentacja,normalny,,,,2022-11-22
0005561,lampy oświetlenie na warstwie na światło,rozwiązany,dokumentacja,normalny,,,,2023-03-13
0005909,Nieczytelna fuga w dokumentacji przy ciemnych płytkach,przypisany,dokumentacja,normalny,,,,2023-05-23
0006136,Abnormal program termination po wyjściu z dokumentacji,przypisany,dokumentacja,wysoki,,,,2023-06-19
0006229,SYMBOLE - Możliwość rysowania symboli na poziomie intellicada. Osobne narzędzie/warstwa. Symbole powinny być wielokolorowe.,nowy,dokumentacja,normalny,,,,2023-07-06
0006342,Kwadraty na ścianach i nierówne powierzchnie modeli po wyjściu z dokumentacji,rozwiązany,dokumentacja,wysoki,,,,2023-08-02
0006434,Wielkość czcionki linii wymiarowej jest powiązana z wielkością czcionki prowadnic symbolu - brak możliwości edycji tej drugiej.,przypisany,dokumentacja,normalny,,,,2023-08-21
0006465,Odległość lini pomocniczej od obiektu działa niepoprawnie dla szafek,nowy,dokumentacja,normalny,,,,2023-08-25
0006546,Spore braki tłumaczeniowe w wersji ukraińskiej,rozwiązany,dokumentacja,normalny,,,,2023-09-06
0006596,Wadliwe pdfy wygenerowane z załączonego projektu,przypisany,dokumentacja,natychmiastowy,,,,2023-09-13
0006728,Dokumentacja zapisana z tabelą szafek wystającą poza granice projektu zawiesza program,przypisany,dokumentacja,normalny,,,,2023-11-03
0006780,Nie widać lini skosu na kładach ze ścian działowych,przypisany,dokumentacja,wysoki,,,,2023-11-20
0006890,Nieoczekiwany błąd przy zmianie skali strony w trybie edycji kartki,przypisany,dokumentacja,pilny,,,,2023-12-13
0006960,występ/wnęka dodany na podłodze/suficie nie jest widoczny w 2D i w związku z tym w dokumentacji,rozwiązany,dokumentacja,normalny,,,,2024-01-09
0007165,"strona ""szafki"" - tabelka na kładach nie zapamiętuje zmienionej wielkości czcionki",przypisany,dokumentacja,normalny,,,,2024-03-08
0007200,Niepoprawne działanie checkboxa aktywującego widoczność prowadnic przyłączy,przypisany,dokumentacja,wysoki,,,,2024-03-15
0007309,Brak możliwości utworzenia kładu na ścianie,rozwiązany,dokumentacja,wysoki,,,,2024-04-11
0003070,Niewidoczny otwór w skosie w środowsiku dot4cad w konkretnym projekcie,rozwiązany,dot4cad,normalny,,,,2021-02-10
0005304,Brak możliwości przesuwania rzutu za pomocą strzałek,rozwiązany,dot4cad,normalny,,,,2023-02-06
0005323,Długo trwa wstawianie pełnych modeli,przypisany,dot4cad,wysoki,,,,2023-02-08
0005505,Utworzony styl wymiarowania nie jest widoczny w innym projekcie,rozwiązany,dot4cad,normalny,,,,2023-03-03
0005751,Crash podczas próby utworzenia nowego stylu wymiarowania,przypisany,dot4cad,niski,,,,2023-04-17
0005771,Błąd runCallBackImpl po zamknięciu programu,przypisany,dot4cad,normalny,,,,2023-04-21
0005830,Komunikat zatytułowany .4CAD 10CrashHandler (wersja 3.0) pojawiający się po zamknięciu konkretnego projektu,zawieszony,dot4cad,normalny,,,,2023-05-05
0006035,Dodatkowe kreski na obszarach wypełnionych kolorem,przypisany,dot4cad,normalny,,,,2023-06-06
0006656,Błąd: Invalid group code przy uruchomieniu projektu,przypisany,dot4cad,wysoki,,,,2023-10-04
0006704,Brak ikony dla niektórych poleceń,rozwiązany,dot4cad,normalny,,,,2023-10-24
0007121,"Możliwość globalnej zmiany czcionki w funkcji ""tekst""",rozwiązany,dot4cad,normalny,,,,2024-02-29
0007140,Kopiowanie formatowania obiektu powoduje przesunięcie się modelu,rozwiązany,dot4cad,normalny,,,,2024-03-05
0007296,Znika przypisany kolor do polilinii,rozwiązany,dot4cad,normalny,,,,2024-04-10
0007382,Kopiowanie obiektów ctrl+c nie uwzględnia ortho,rozwiązany,dot4cad,normalny,,,,2024-04-25
0005036,"np. okna wieloskrzydłowe - nieoczekiwana zmiana komórki po wybraniu ""odbicie w pionie""",przypisany,drzwi i okna,normalny,,,,2022-12-15
0005687,"Błędna nazwa okien tarasowych - dwuskrzydłowe 5, wieloskrzydłowe 9, narożne tarasowe 4 i 5",nowy,drzwi i okna,normalny,,,,2023-04-03
0005778,brakuje możliwości wstawienia drzwi bez ościeżnicy,zwrócony,drzwi i okna,normalny,,,,2023-04-24
0005806,Brak komunikatu przy niekatywnej funkcji Lustro.,nowy,drzwi i okna,normalny,,,,2023-04-26
0006093,nieprawidłowe parametry na szybach okiennych,przypisany,drzwi i okna,normalny,,,,2023-06-14
0006158,podczas tworzenia indywidualnego okna brakuje możliwości blokowania wymiarów szer. i wys. okna,przypisany,drzwi i okna,normalny,,,,2023-06-22
0006181,brakuje możliwości zmiany położenia szprosów,nowy,drzwi i okna,normalny,,,,2023-06-27
0006418,podczas wstawiania drzwi ( zwłaszcza poza ścianami ) brakuje opcji wyłączenia ościeżnicy,przypisany,drzwi i okna,normalny,,,,2023-08-17
0006430,Biały kolor szyb po zmianie wysokości ścian i cofaniu za pomocą Ctrl+Z,przypisany,drzwi i okna,normalny,,,,2023-08-21
0006632,Nie można przeskalować okrągłego okna tylko w jednej osi,przypisany,drzwi i okna,normalny,,,,2023-09-26
0007097,Przenikające się tekstury po przesunięciu drzwi,przypisany,drzwi i okna,normalny,,,,2024-02-20
0007320,brakuje opcji wyłączenia klamki w drzwiach i oknach,rozwiązany,drzwi i okna,wysoki,,,,2024-04-12
0007336,Baza Użytkownika - brakuje opcji usuwania kategorii,przypisany,drzwi i okna,wysoki,,,,2024-04-16
0007426,Zmiana wyświetlanego okna przy zmianie klamki i przeklikiwaniu się między drzwiami a oknami,przypisany,drzwi i okna,wysoki,,,,2024-05-15
0005085,"Po usunięciu bazy Tikkurilla z panelu dystrybucji, pliki bazy nie zostają usunięte z upload.",rozwiązany,Dystrybutor baz,normalny,,,,2022-12-28
0006244,Bazy ze spacją w nazwie,rozwiązany,Dystrybutor baz,normalny,,,,2023-07-07
0006987,Kopiowanie baz jako .7z do folderu MainFiles w instalkach.,rozwiązany,Dystrybutor baz,normalny,,,,2024-01-18
0007102,Brak komunikatu o wysłaniu bazy do dystrybucji.,rozwiązany,Dystrybutor baz,normalny,,,,2024-02-20
0007067,Zbyt mocna kopresja jpga dodawanego jako płytka,przypisany,edytor bazy płytek,normalny,,,,2024-02-14
0007086,Przesunięte ściany po edycji ścian z kreatora,przypisany,edytor ścian,normalny,,,,2024-02-16
0007319,Niepoprawne zachowanie występów podczas przenoszenia płytek,nowy,edytor ścian,normalny,,,,2024-04-12
0006344,Napis zasłonięty przez checkbox w wersji węgierskiej,przypisany,edytor szafek bazy kuchennej,normalny,,,,2023-08-02
0006417,dodatkowa ramka ALU,nowy,edytor szafek bazy kuchennej,normalny,,,,2023-08-17
0006287,Szafki z edytora zapisują się bez zdefiniowanych.,przypisany,edytor szafek użytkownika,normalny,,,,2023-07-19
0006368,Uchwyty w edytorze nie odświerzają się na bieżąco,przypisany,edytor szafek użytkownika,normalny,,,,2023-08-04
0007224,Szafka dubluje się przy zapisie w Edyorze szafek,przypisany,edytor szafek użytkownika,wysoki,,,,2024-03-22
0006619,Obsługa licencji online,rozwiązany,instalator programu,normalny,,,,2023-09-20
0003678,zmiana długości nazwy warstwy - powyżej 32 znaków,nowy,konwerter,wysoki,,,,2021-10-08
0005962,Zmienić AssimpConverter.exe w AssimpConverter.dll,przypisany,konwerter,normalny,,,,2023-05-26
0006439,nieprawidłowe pakowanie plików do folderu,zawieszony,konwerter,wysoki,,,,2023-08-22
0007026,Nieprawidłowa konwersja pliku .dwg,przypisany,konwerter,normalny,,,,2024-01-31
0007191,Dodatkowe powierzchnie w konwerterze w modelu krętej poręczy,rozwiązany,konwerter,normalny,,,,2024-03-15
0006623,brak sufitu w obrębie wnęki i otworu,przypisany,kreator ścian,normalny,,,,2023-09-21
0006211,Przywrócenie funkcji automatycznego generowania doklejek dla blatów,przypisany,listwy,normalny,,,,2023-07-03
